,keyword,title,summary,date,href
48, AI ,Petia Dimitrova: “Digitalization is the basis of the banking of the future”,Exclusive interview with the Chief Executive Officer and Chairperson of the Management Board of Postbank.,12 ноември 2019,https://mediacenter.postbank.bg/petia-dimitrova-digitalization-basis-banking-future/
49, AI ,Petia Dimitrova: “Reality has shown that now is the time for bold changes and digital innovations – this is why we are the first to introduce them with the unique-for-the-market express banking zones and new generation of mobile wallet”,"Postbank was awarded the prize “Bank of the Year” for 2020 – a challenging year, which once again proved that we are moving fast enough and in the right direction, said Petya Dimitrova. We have achieved good financial results, we have become bigger and more dynamic in our development and we have continued to implement innovations in the service of our customers, she said in an interview with “24 Chasa” Daily newspaper.",31 октомври 2020,https://mediacenter.postbank.bg/petia-dimitrova-reality-shown-time-bold-digital-innovations-introduce-unique-for-the-market-express-banking-zones-generation-mobile-wallet/
50, AI ,Petia Dimitrova: Banking in a Digital World,"Petia Dimitrova, CEO and Chairperson of the Management Board of Postbank for CIO Times and its special edition “Most High-Impact Women Leaders Making a Difference, 2021“",1 февруари 2022,https://mediacenter.postbank.bg/petia-dimitrova-banking-digital-world/
51, AI ,Petia Dimitrova: Banks are preparing for the adoption of the single European currency and will continue to actively support the development of the economy,"Petia Dimitrova, Chief Executive Officer and Chairperson of the Management Board of Postbank for the quarterly bulletin of the Association of banks in Bulgaria",27 април 2023,https://mediacenter.postbank.bg/petia-dimitrova-banks-preparing-adoption-single-european-currency-continue-actively-support-development-economy/
52, AI ,Petia Dimitrova: Banks in Bulgaria are an indispensable factor in the prosperity of the economy,"Interview with Petia Dimitrova, Chief Executive Officer and Chairperson of the Executive Board of Postbank and Chairperson of ABB for the “Trud News”",20 декември 2023,https://mediacenter.postbank.bg/petia-dimitrova-banks-bulgaria-indispensable-factor-prosperity-economy-strategic-stability-country/
53, AI ,"Petia Dimitrova: Banks will continue to lend actively, in line with economic recovery","Companies and households continue to actively seek new loans and increase their deposits, Dimitrova commented during her participation in the conference “Banks and Business”, organized by Capital. She pointed out that the quality of loan portfolios remains good, which was helped by the program for deferral of credit obligations.",25 ноември 2020,https://mediacenter.postbank.bg/petia-dimitrova-banks-continue-lend-actively-line-economic-recovery/
54, AI ,"Petia Dimitrova: By acquiring BNP Paribas Personal Finance, we will establish ourselves as the bank of choice for individual clients","Interview with Petia Dimitrova, Chief Executive Officer and Chairperson of the Management Board of Postbank for Investor.bg",5 януари 2023,https://mediacenter.postbank.bg/petia-dimitrova-acquiring-bnp-paribas-personal-finance-establish-bank-choice-individual-clients/
55, AI ,Petia Dimitrova: Customer digital user experience is a key for the new banking model,9 March 2018.,9 март 2018,https://mediacenter.postbank.bg/petia-dimitrova-customer-digital-user-experience-key-banking-model/
56, AI ,Petia Dimitrova: Digital Transformation Is the Path to Success,Interview with Petia Dimitrova for CEO Today. ,4 октомври 2021,https://mediacenter.postbank.bg/petia-dimitrova-digital-transformation-path-success/
57, AI ,Petia Dimitrova: Digitalization has set even more ambitious goals for us for the future,Interview with Petia Dimitrova for Economy.bg,28 септември 2021,https://mediacenter.postbank.bg/petia-dimitrova-digitalization-set-ambitious-goals-future/
58, AI ,Petia Dimitrova: Instant payments are the new normal and banks are part of it,Interview with Petia Dimitrova for Bloomberg TV. ,4 юни 2021,https://mediacenter.postbank.bg/petia-dimitrova-instant-payments-normal-banks-part/
59, AI ,Petia Dimitrova: Investments in Developing the Digital Ecosystem Are the Future of the Banking Sector,"Interview with Petia Dimitrova, CEO and Chairperson of the Management Board of Postbank for Bulgaria On Air. ",12 ноември 2021,https://mediacenter.postbank.bg/petia-dimitrova-investments-developing-digital-ecosystem-future-banking-sector-2/
60, AI ,Petia Dimitrova: Moving ahead of the “wind of change” is the most important skill that entrepreneurs in Bulgaria need to demonstrate right now," The Pandemic create a situation which is a test of business sustainability. For me, the big restart is possible by people with ideas and innovative business that adapts to change. Each crisis provides new opportunities for development and now we expect businesses to take advantage of this, Petya Dimitrova pointed in an interview with investor.bg.",24 юли 2020,https://mediacenter.postbank.bg/petia-dimitrova-moving-wind-change-important-skill-entrepreneurs-bulgaria-demonstrate/
61, AI ,Petia Dimitrova: Postbank and Doverie PAC became strategic partners in offering innovative financial solutions,"Interview with Petia Dimitrova, CEO and Chairperson of the Management Board of Postbank for Banker. ",28 октомври 2021,https://mediacenter.postbank.bg/petia-dimitrova-postbank-doverie-pac-strategic-partners-offering-innovative-financial-solutions/
62, AI ,Petia Dimitrova: Regulations continue to be one of the most serious challenges,"The results of the asset quality review and the stress test confirmed something that people working in this sector know well – that our banking system is at a very stable level, the banks are well capitalized and liquid, and are successfully managing their loan portfolios.",6 май 2017,https://mediacenter.postbank.bg/petia-dimitrova-regulations-continue-challenges/
63, AI ,Petia Dimitrova: Striving to Grow is Part of Our DNA at Postbank,"An interview with Petia Dimitrova, CEO and Chairperson of the Management Board of Postbank for the financial and economic portal money.bg. ",23 ноември 2021,https://mediacenter.postbank.bg/petia-dimitrova-striving-grow-part-dna-postbank/
64, AI ,Petia Dimitrova: Striving Towards Innovation Is a Postbank Trademark,Interview for BGLOBAL Magazine,4 ноември 2022,https://mediacenter.postbank.bg/petia-dimitrova-striving-innovation-postbank-trademark/
65, AI ,Petia Dimitrova: Success is only a step towards new success,"The year is going well and I expect it to be successful one for households and businesses, as well as for the banks. ",29 юни 2017,https://mediacenter.postbank.bg/petia-dimitrova-success-step-success/
66, AI ,Petia Dimitrova: The banking digitalization is our mission,We are moving at our customers’ pace and we are trying to be one step ahead of them at the same time.,20 март 2018,https://mediacenter.postbank.bg/petia-dimitrova-banking-digitalization-mission/
