,keyword,title,summary,date,href
62,big data,От серията „Финанси за нефинансисти: практични съвети за управление на парите“: Пет съвета как парите могат да подобрят любовния ви живот,"Според проучване на Money Magazine двойките се карат за пари повече, отколкото за секс.",2016-02-11T08:03:00+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/ot-seriiata-finansi-za-nefinansisti-praktichni-5/
63,big data,Проучване на УниКредит за банковия сектор в ЦИЕ 2016: Очаква се увеличаване на кредитирането и намаляване на лошите кредити,"Според прогнозите на УниКредит икономическото възстановяване ще подкрепи кредитирането, особено в някои страни в региона, където се наблюдаваше известно изоставане. Нивата на лошите кредити се очаква да намалеят.",2016-01-20T08:03:00+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/prouchvane-na-unikredit-za-bankovia-sektor-v-tsie/
64,big data,Проучване на УниКредит за банковия сектор в ЦИЕ 2016: Очаква се увеличаване на кредитирането и намаляване на лошите кредити,"Според прогнозите на УниКредит икономическото възстановяване ще подкрепи кредитирането, особено в някои страни в региона, където се наблюдаваше известно изоставане. Нивата на лошите кредити се очаква да намалеят.",2016-01-20T08:03:00+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/prouchvane-na-unikredit-za-bankovia-sektor-v-tsie/
65,big data,Иновации в полза на клиента: В клоновата мрежа на УниКредит Булбанк вече можем да се сдобием и с мобилни устройства на изплащане,"Новата версия на Булбанк Мобайл интегрира една от последните иновации при смартфоните – защита с пръстов отпечатък, както и интуитивен интерфейс за работа с таблети.",2015-07-27T09:03:00+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/inovatsii-v-polza-na-klienta-v-klonovata-mrezha/
66,big data,УниКредит Булбанк с първи частен облак във финансовия сектор,ИТ процесите в банката са по-ефективни след успешното завършване на проекта.,2015-07-20T09:03:00+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/unikredit-bulbank-s-prvi-chasten-oblak-vv-finansov/
67,big data,С ново мобилно приложение на УниКредит Булбанк дамите получават навигация за отстъпки до 50%,В Donna Catalogue могат да бъдат намерени 250 търговски марки в над 550 обекта.,2015-07-08T09:03:00+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/s-novo-mobilno-prilozhenie-na-unikredit-bulbank/
68,big data,Клонове на УниКредит Булбанк обслужват клиенти с удължено работно време през летния сезон,Филиали на банката по Черноморието ще работят събота и неделя.,2015-06-18T09:03:00+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/udalzheno-rabotno-vreme-prez-letnia-sezon/
69,big data,Левон Хампарцумян по време на финансовия форум „Иновации“: Бъдещето на банките е и в дигиталния свят,"Бъдещето на банките е и в дигиталния свят. Това каза Левон Хампарцумян, главен изпълнителен директор на УниКредит Булбанк по време на финансовия форум „Иновации“, организиран от Асоциация Банка на годината.",2015-06-16T09:03:00+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/badeshteto-na-bankite-e-i-v-digitalnia-sviat/
70,big data,Контрол на емоциите и дългосрочен хоризонт носят висока доходност,Балансираното диверсифициране на спестяванията е основна стратегия на богатите по цял свят.,2015-06-15T09:03:00+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/kontrol-na-emotsiite-i-dalgosrochen-horizont/
71,big data,"Андреа Казини по време на конференцията „По-модерни, по-конкурентноспособни, по-силни“: Ръстът на експорта с най-високи стойности за последните 7 години",БВП с най-голямо повишение на тримесечна база за последните четири години.,2015-06-09T09:03:00+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/rastat-na-eksporta-s-nai-visoki-stoinosti/
